Faktor:3621 Corr:-45.94
Pos	Time_ms	SampleAX_Out	SampleAX_Out_raw	SampleBX_Out	SampleBX_Out_raw	Encoderzähler Encoder0	Encoderzähler Encoder0_raw	Encoderzähler Encoder1	Encoderzähler Encoder1_raw
0	0.00	-119.396	-432333	0.000	0	0.000	0	0.000	0	
1	0.10	-119.458	-432558	0.000	0	0.000	-1	0.000	-1	
2	0.20	-120.149	-435058	0.000	0	0.000	-1	0.000	-1	
3	0.30	-120.841	-437565	0.000	0	0.000	-1	0.000	-1	
4	0.40	-121.536	-440081	0.000	0	0.000	-1	0.000	-1	
5	0.50	-122.231	-442600	0.000	0	0.000	-1	0.000	-1	
6	0.60	-122.930	-445130	0.000	0	0.000	-1	0.000	-1	
7	0.70	-123.631	-447669	0.000	0	0.000	-1	0.000	-1	
8	0.80	-124.334	-450212	0.000	0	0.000	-1	0.000	-1	
9	0.90	-125.038	-452764	0.000	0	0.000	-1	0.000	-1	
10	1.00	-125.722	-455240	0.000	0	-0.001	-2	-0.001	-2	
11	1.10	-126.432	-457810	0.000	0	-0.001	-2	-0.001	-2	
12	1.20	-127.144	-460389	0.000	0	-0.001	-2	-0.001	-2	
13	1.30	-127.858	-462975	0.000	0	-0.001	-2	-0.001	-2	
14	1.40	-128.576	-465573	0.000	0	-0.001	-2	-0.001	-2	
15	1.50	-129.296	-468180	0.000	0	-0.001	-2	-0.001	-2	
16	1.60	-130.018	-470796	0.000	0	-0.001	-2	-0.001	-2	
17	1.70	-130.743	-473421	0.000	0	-0.001	-2	-0.001	-2	
18	1.80	-131.471	-476057	0.000	0	-0.001	-2	-0.001	-2	
19	1.90	-132.179	-478619	0.000	0	-0.001	-3	-0.001	-3	
20	2.00	-132.912	-481274	0.000	0	-0.001	-3	-0.001	-3	
21	2.10	-133.648	-483940	0.000	0	-0.001	-3	-0.001	-3	
22	2.20	-134.387	-486616	0.000	0	-0.001	-3	-0.001	-3	
23	2.30	-135.128	-489300	0.000	0	-0.001	-3	-0.001	-3	
24	2.40	-135.873	-491996	0.000	0	-0.001	-3	-0.001	-3	
25	2.50	-136.620	-494702	0.000	0	-0.001	-3	-0.001	-3	
