Faktor:3643 Corr:46.13
Pos	Time_ms	SampleAX_Out	SampleAX_Out_raw	SampleBX_Out	SampleBX_Out_raw	Encoderzähler Encoder0	Encoderzähler Encoder0_raw	Encoderzähler Encoder1	Encoderzähler Encoder1_raw
0	0.00	119.093	433857	0.000	0	0.000	0	0.000	0	
1	0.10	118.529	431801	0.000	0	0.000	0	0.000	0	
2	0.20	116.568	424659	0.000	0	0.000	0	0.000	0	
3	0.30	114.614	417537	0.000	0	0.000	0	0.000	0	
4	0.40	112.663	410433	0.000	0	0.000	0	0.000	0	
5	0.50	110.718	403345	0.000	0	0.000	0	0.000	0	
6	0.60	108.776	396272	0.000	0	0.000	0	0.000	0	
7	0.70	106.839	389214	0.000	0	0.000	0	0.000	0	
8	0.80	104.883	382088	0.000	0	0.000	-1	0.000	-1	
9	0.90	102.954	375063	0.000	0	0.000	-1	0.000	-1	
10	1.00	101.030	368054	0.000	0	0.000	-1	0.000	-1	
11	1.10	99.111	361061	0.000	0	0.000	-1	0.000	-1	
12	1.20	97.196	354085	0.000	0	0.000	-1	0.000	-1	
13	1.30	95.286	347127	0.000	0	0.000	-1	0.000	-1	
14	1.40	93.380	340183	0.000	0	0.000	-1	0.000	-1	
15	1.50	91.478	333255	0.000	0	0.000	-1	0.000	-1	
16	1.60	89.581	326343	0.000	0	0.000	-1	0.000	-1	
17	1.70	87.665	319363	0.000	0	-0.001	-2	-0.001	-2	
18	1.80	85.776	312481	0.000	0	-0.001	-2	-0.001	-2	
19	1.90	83.890	305611	0.000	0	-0.001	-2	-0.001	-2	
20	2.00	82.008	298754	0.000	0	-0.001	-2	-0.001	-2	
21	2.10	80.129	291909	0.000	0	-0.001	-2	-0.001	-2	
22	2.20	78.253	285076	0.000	0	-0.001	-2	-0.001	-2	
23	2.30	76.380	278253	0.000	0	-0.001	-2	-0.001	-2	
24	2.40	74.510	271439	0.000	0	-0.001	-2	-0.001	-2	
25	2.50	72.642	264635	0.000	0	-0.001	-2	-0.001	-2	
26	2.60	70.755	257759	0.000	0	-0.001	-3	-0.001	-3	
27	2.70	68.892	250975	0.000	0	-0.001	-3	-0.001	-3	
28	2.80	67.031	244195	0.000	0	-0.001	-3	-0.001	-3	
29	2.90	65.173	237424	0.000	0	-0.001	-3	-0.001	-3	
30	3.00	63.316	230660	0.000	0	-0.001	-3	-0.001	-3	
31	3.10	61.461	223902	0.000	0	-0.001	-3	-0.001	-3	
