Faktor:3624 Corr:-46.35
Pos	Time_ms	SampleAX_Out	SampleAX_Out_raw	SampleBX_Out	SampleBX_Out_raw	Encoderzähler Encoder0	Encoderzähler Encoder0_raw	Encoderzähler Encoder1	Encoderzähler Encoder1_raw
0	0.00	-119.383	-432645	0.000	0	0.000	-1	0.000	-1	
1	0.10	-118.071	-427888	0.000	0	-0.001	-2	-0.001	-2	
2	0.20	-116.758	-423131	0.000	0	-0.001	-3	-0.001	-3	
3	0.30	-115.422	-418290	0.000	0	-0.001	-5	-0.001	-5	
4	0.40	-114.111	-413537	0.000	0	-0.002	-6	-0.002	-6	
5	0.50	-112.799	-408785	0.000	0	-0.002	-7	-0.002	-7	
6	0.60	-111.465	-403949	0.000	0	-0.002	-9	-0.002	-9	
7	0.70	-110.155	-399200	0.000	0	-0.003	-10	-0.003	-10	
8	0.80	-108.845	-394453	0.000	0	-0.003	-11	-0.003	-11	
9	0.90	-107.510	-389618	0.000	0	-0.004	-13	-0.004	-13	
10	1.00	-106.200	-384870	0.000	0	-0.004	-14	-0.004	-14	
11	1.10	-104.890	-380122	0.000	0	-0.004	-15	-0.004	-15	
12	1.20	-103.580	-375373	0.000	0	-0.004	-16	-0.004	-16	
13	1.30	-102.246	-370540	0.000	0	-0.005	-18	-0.005	-18	
14	1.40	-100.935	-365790	0.000	0	-0.005	-19	-0.005	-19	
15	1.50	-99.625	-361041	0.000	0	-0.006	-20	-0.006	-20	
16	1.60	-98.290	-356204	0.000	0	-0.006	-22	-0.006	-22	
17	1.70	-96.979	-351453	0.000	0	-0.006	-23	-0.006	-23	
18	1.80	-95.669	-346703	0.000	0	-0.007	-24	-0.007	-24	
19	1.90	-94.333	-341864	0.000	0	-0.007	-26	-0.007	-26	
20	2.00	-93.022	-337111	0.000	0	-0.007	-27	-0.007	-27	
21	2.10	-91.710	-332356	0.000	0	-0.008	-28	-0.008	-28	
22	2.20	-90.397	-327600	0.000	0	-0.008	-29	-0.008	-29	
23	2.30	-89.061	-322757	0.000	0	-0.009	-31	-0.009	-31	
24	2.40	-87.748	-317998	0.000	0	-0.009	-32	-0.009	-32	
25	2.50	-86.435	-313240	0.000	0	-0.009	-33	-0.009	-33	
26	2.60	-85.097	-308393	0.000	0	-0.010	-35	-0.010	-35	
27	2.70	-83.783	-303629	0.000	0	-0.010	-36	-0.010	-36	
28	2.80	-82.467	-298862	0.000	0	-0.010	-37	-0.010	-37	
29	2.90	-81.152	-294095	0.000	0	-0.010	-38	-0.010	-38	
30	3.00	-79.812	-289239	0.000	0	-0.011	-40	-0.011	-40	
