Faktor:3632 Corr:46.10
Pos	Time_ms	SampleAX_Out	SampleAX_Out_raw	SampleBX_Out	SampleBX_Out_raw	Encoderzähler Encoder0	Encoderzähler Encoder0_raw	Encoderzähler Encoder1	Encoderzähler Encoder1_raw
0	0.00	119.036	432337	0.000	0	0.000	-1	0.000	-1	
1	0.10	118.206	429325	0.000	0	-0.001	-2	-0.001	-2	
2	0.20	117.357	426239	0.000	0	-0.001	-4	-0.001	-4	
3	0.30	116.534	423253	0.000	0	-0.001	-5	-0.001	-5	
4	0.40	115.716	420281	0.000	0	-0.002	-6	-0.002	-6	
5	0.50	114.878	417237	0.000	0	-0.002	-8	-0.002	-8	
6	0.60	114.066	414287	0.000	0	-0.002	-9	-0.002	-9	
7	0.70	113.257	411351	0.000	0	-0.003	-10	-0.003	-10	
8	0.80	112.452	408425	0.000	0	-0.003	-11	-0.003	-11	
9	0.90	111.626	405426	0.000	0	-0.004	-13	-0.004	-13	
10	1.00	110.827	402524	0.000	0	-0.004	-14	-0.004	-14	
11	1.10	110.031	399632	0.000	0	-0.004	-15	-0.004	-15	
12	1.20	109.215	396669	0.000	0	-0.005	-17	-0.005	-17	
13	1.30	108.425	393800	0.000	0	-0.005	-18	-0.005	-18	
14	1.40	107.638	390941	0.000	0	-0.005	-19	-0.005	-19	
15	1.50	106.832	388013	0.000	0	-0.006	-21	-0.006	-21	
16	1.60	106.051	385178	0.000	0	-0.006	-22	-0.006	-22	
17	1.70	105.273	382351	0.000	0	-0.006	-23	-0.006	-23	
18	1.80	104.498	379538	0.000	0	-0.007	-24	-0.007	-24	
19	1.90	103.703	376650	0.000	0	-0.007	-26	-0.007	-26	
20	2.00	102.934	373857	0.000	0	-0.007	-27	-0.007	-27	
21	2.10	102.167	371072	0.000	0	-0.008	-28	-0.008	-28	
22	2.20	101.404	368298	0.000	0	-0.008	-29	-0.008	-29	
23	2.30	100.620	365451	0.000	0	-0.009	-31	-0.009	-31	
24	2.40	99.861	362696	0.000	0	-0.009	-32	-0.009	-32	
25	2.50	99.104	359947	0.000	0	-0.009	-33	-0.009	-33	
26	2.60	98.351	357211	0.000	0	-0.009	-34	-0.009	-34	
27	2.70	97.577	354401	0.000	0	-0.010	-36	-0.010	-36	
28	2.80	96.828	351681	0.000	0	-0.010	-37	-0.010	-37	
29	2.90	96.082	348969	0.000	0	-0.010	-38	-0.010	-38	
30	3.00	95.337	346265	0.000	0	-0.011	-39	-0.011	-39	
31	3.10	94.573	343489	0.000	0	-0.011	-41	-0.011	-41	
32	3.20	93.833	340801	0.000	0	-0.012	-42	-0.012	-42	
33	3.30	93.095	338121	0.000	0	-0.012	-43	-0.012	-43	
34	3.40	92.359	335448	0.000	0	-0.012	-44	-0.012	-44	
35	3.50	91.603	332701	0.000	0	-0.013	-46	-0.013	-46	
36	3.60	90.870	330041	0.000	0	-0.013	-47	-0.013	-47	
37	3.70	90.140	327387	0.000	0	-0.013	-48	-0.013	-48	
38	3.80	89.410	324738	0.000	0	-0.013	-49	-0.013	-49	
39	3.90	88.660	322014	0.000	0	-0.014	-51	-0.014	-51	
40	4.00	87.933	319371	0.000	0	-0.014	-52	-0.014	-52	
41	4.10	87.206	316734	0.000	0	-0.015	-53	-0.015	-53	
42	4.20	86.482	314102	0.000	0	-0.015	-54	-0.015	-54	
43	4.30	85.737	311397	0.000	0	-0.015	-56	-0.015	-56	
44	4.40	85.015	308775	0.000	0	-0.016	-57	-0.016	-57	
45	4.50	84.295	306160	0.000	0	-0.016	-58	-0.016	-58	
46	4.60	83.555	303472	0.000	0	-0.017	-60	-0.017	-60	
47	4.70	82.838	300868	0.000	0	-0.017	-61	-0.017	-61	
48	4.80	82.123	298272	0.000	0	-0.017	-62	-0.017	-62	
49	4.90	81.410	295682	0.000	0	-0.017	-63	-0.017	-63	
50	5.00	80.677	293020	0.000	0	-0.018	-65	-0.018	-65	
51	5.10	79.968	290442	0.000	0	-0.018	-66	-0.018	-66	
52	5.20	79.260	287871	0.000	0	-0.018	-67	-0.018	-67	
53	5.30	78.554	285307	0.000	0	-0.019	-68	-0.019	-68	
54	5.40	77.828	282671	0.000	0	-0.019	-70	-0.019	-70	
55	5.50	77.125	280117	0.000	0	-0.020	-71	-0.020	-71	
56	5.60	76.423	277570	0.000	0	-0.020	-72	-0.020	-72	
57	5.70	75.724	275028	0.000	0	-0.020	-73	-0.020	-73	
58	5.80	75.004	272414	0.000	0	-0.021	-75	-0.021	-75	
59	5.90	74.307	269882	0.000	0	-0.021	-76	-0.021	-76	
