Faktor:3649 Corr:-46.15
Pos	Time_ms	SampleAX_Out	SampleAX_Out_raw	SampleAY_Out	SampleAY_Out_raw	Encoderzähler Encoder0	Encoderzähler Encoder0_raw	Encoderzähler Encoder1	Encoderzähler Encoder1_raw
0	0.00	-139.832	-510248	-1.224	-4468	0.000	-1	0.000	-1	
1	0.10	-139.241	-508089	-2.574	-9394	0.000	-1	0.000	-1	
2	0.20	-138.652	-505941	-3.925	-14324	0.000	-1	0.000	-1	
3	0.30	-138.043	-503719	-5.257	-19182	-0.001	-2	-0.001	-2	
4	0.40	-137.459	-501588	-6.609	-24117	-0.001	-2	-0.001	-2	
5	0.50	-136.855	-499384	-7.941	-28978	-0.001	-3	-0.001	-3	
6	0.60	-136.275	-497267	-9.295	-33917	-0.001	-3	-0.001	-3	
7	0.70	-135.697	-495159	-10.649	-38859	-0.001	-3	-0.001	-3	
8	0.80	-135.099	-492978	-11.983	-43725	-0.001	-4	-0.001	-4	
9	0.90	-134.526	-490886	-13.338	-48669	-0.001	-4	-0.001	-4	
10	1.00	-133.955	-488801	-14.693	-53614	-0.001	-4	-0.001	-4	
11	1.10	-133.363	-486642	-16.027	-58484	-0.001	-5	-0.001	-5	
12	1.20	-132.796	-484572	-17.383	-63431	-0.001	-5	-0.001	-5	
13	1.30	-132.208	-482428	-18.719	-68304	-0.002	-6	-0.002	-6	
14	1.40	-131.645	-480372	-20.074	-73251	-0.002	-6	-0.002	-6	
15	1.50	-131.083	-478323	-21.430	-78199	-0.002	-6	-0.002	-6	
16	1.60	-130.502	-476200	-22.766	-83073	-0.002	-7	-0.002	-7	
17	1.70	-129.944	-474167	-24.122	-88020	-0.002	-7	-0.002	-7	
18	1.80	-129.389	-472139	-25.478	-92969	-0.002	-7	-0.002	-7	
19	1.90	-128.813	-470037	-26.813	-97842	-0.002	-8	-0.002	-8	
20	2.00	-128.260	-468022	-28.170	-102791	-0.002	-8	-0.002	-8	
21	2.10	-127.688	-465933	-29.505	-107665	-0.002	-9	-0.002	-9	
22	2.20	-127.138	-463928	-30.862	-112615	-0.002	-9	-0.002	-9	
23	2.30	-126.591	-461930	-32.218	-117565	-0.002	-9	-0.002	-9	
24	2.40	-126.022	-459856	-33.554	-122439	-0.003	-10	-0.003	-10	
25	2.50	-125.478	-457869	-34.911	-127390	-0.003	-10	-0.003	-10	
26	2.60	-124.913	-455806	-36.247	-132265	-0.003	-11	-0.003	-11	
27	2.70	-124.371	-453828	-37.604	-137216	-0.003	-11	-0.003	-11	
28	2.80	-123.830	-451855	-38.960	-142166	-0.003	-11	-0.003	-11	
29	2.90	-123.269	-449807	-40.297	-147042	-0.003	-12	-0.003	-12	
30	3.00	-122.731	-447844	-41.654	-151994	-0.003	-12	-0.003	-12	
31	3.10	-122.194	-445886	-43.011	-156946	-0.003	-12	-0.003	-12	
32	3.20	-121.637	-443852	-44.347	-161823	-0.004	-13	-0.004	-13	
33	3.30	-121.102	-441903	-45.705	-166776	-0.004	-13	-0.004	-13	
34	3.40	-120.548	-439879	-47.042	-171657	-0.004	-14	-0.004	-14	
35	3.50	-120.016	-437940	-48.400	-176612	-0.004	-14	-0.004	-14	
36	3.60	-119.487	-436009	-49.759	-181569	-0.004	-14	-0.004	-14	
37	3.70	-118.936	-433999	-51.097	-186452	-0.004	-15	-0.004	-15	
38	3.80	-118.410	-432077	-52.456	-191412	-0.004	-15	-0.004	-15	
39	3.90	-117.862	-430078	-53.795	-196298	-0.004	-16	-0.004	-16	
40	4.00	-117.338	-428167	-55.155	-201260	-0.004	-16	-0.004	-16	
