Faktor:3632 Corr:46.20
Pos	Time_ms	SampleAX_Out	SampleAX_Out_raw	SampleAY_Out	SampleAY_Out_raw	Encoderzähler Encoder0	Encoderzähler Encoder0_raw	Encoderzähler Encoder1	Encoderzähler Encoder1_raw
0	0.00	-139.878	-508036	19.374	70368	0.000	0	0.000	0	
1	0.10	-138.303	-502318	19.757	71757	0.000	-1	0.000	-1	
2	0.20	-136.731	-496608	20.139	73145	-0.001	-2	-0.001	-2	
3	0.30	-135.162	-490908	20.521	74534	-0.001	-3	-0.001	-3	
4	0.40	-133.573	-485138	20.925	75998	-0.001	-3	-0.001	-3	
5	0.50	-132.008	-479454	21.307	77386	-0.001	-4	-0.001	-4	
6	0.60	-130.445	-473778	21.689	78773	-0.001	-5	-0.001	-5	
7	0.70	-128.885	-468109	22.071	80161	-0.002	-6	-0.002	-6	
8	0.80	-127.305	-462371	22.473	81623	-0.002	-6	-0.002	-6	
9	0.90	-125.748	-456717	22.855	83011	-0.002	-7	-0.002	-7	
10	1.00	-124.193	-451069	23.238	84400	-0.002	-8	-0.002	-8	
11	1.10	-122.618	-445350	23.641	85864	-0.002	-8	-0.002	-8	
12	1.20	-121.067	-439715	24.024	87254	-0.002	-9	-0.002	-9	
13	1.30	-119.517	-434086	24.406	88644	-0.003	-10	-0.003	-10	
14	1.40	-117.969	-428462	24.789	90034	-0.003	-11	-0.003	-11	
15	1.50	-116.401	-422768	25.193	91502	-0.003	-11	-0.003	-11	
16	1.60	-114.855	-417155	25.577	92895	-0.003	-12	-0.003	-12	
17	1.70	-113.311	-411546	25.961	94289	-0.004	-13	-0.004	-13	
18	1.80	-111.768	-405943	26.345	95686	-0.004	-14	-0.004	-14	
19	1.90	-110.227	-400343	26.730	97083	-0.004	-15	-0.004	-15	
20	2.00	-108.665	-394672	27.136	98559	-0.004	-15	-0.004	-15	
21	2.10	-107.126	-389082	27.522	99959	-0.004	-16	-0.004	-16	
22	2.20	-105.588	-383495	27.907	101359	-0.005	-17	-0.005	-17	
23	2.30	-104.051	-377914	28.293	102760	-0.005	-18	-0.005	-18	
24	2.40	-102.494	-372260	28.700	104239	-0.005	-18	-0.005	-18	
25	2.50	-100.960	-366686	29.086	105642	-0.005	-19	-0.005	-19	
26	2.60	-99.426	-361115	29.473	107045	-0.006	-20	-0.006	-20	
27	2.70	-97.894	-355550	29.859	108448	-0.006	-21	-0.006	-21	
28	2.80	-96.341	-349911	30.267	109929	-0.006	-21	-0.006	-21	
29	2.90	-94.811	-344353	30.654	111335	-0.006	-22	-0.006	-22	
30	3.00	-93.281	-338798	31.041	112741	-0.006	-23	-0.006	-23	
